experiment,deployed,correctly_executed,deployed_not_executed,executed_final_correct,executed_final_not_correct,executed_final_correct_debugged,executed_final_correct_not_debugged,executed_final_correct_debugged_original_correct,executed_final_correct_debugged_original_not_correct,executed_final_correct_not_debugged_original_correct,executed_final_correct_not_debugged_original_not_correct,executed_final_not_correct_debugged,executed_final_not_correct_not_debugged,executed_final_not_correct_debugged_original_correct,executed_final_not_correct_debugged_original_not_correct,executed_final_not_correct_not_debugged_original_correct,executed_final_not_correct_not_debugged_original_not_correct,not_executed_final_correct,not_executed_final_not_correct,not_executed_final_correct_debugged,not_executed_final_correct_not_debugged,not_executed_final_correct_debugged_original_correct,not_executed_final_correct_debugged_original_not_correct,not_executed_final_correct_not_debugged_original_correct,not_executed_final_correct_not_debugged_original_not_correct,not_executed_final_not_correct_debugged,not_executed_final_not_correct_not_debugged,not_executed_final_not_correct_debugged_original_correct,not_executed_final_not_correct_debugged_original_not_correct,not_executed_final_not_correct_not_debugged_original_correct,not_executed_final_not_correct_not_debugged_original_not_correct
2,154,148,6,69,79,5,64,5,0,64,0,26,53,13,13,0,53,4,2,0,4,0,0,4,0,0,2,0,0,0,2
0,146,132,14,30,102,5,25,1,4,25,0,37,65,3,34,0,65,1,13,1,0,1,0,0,0,3,10,1,2,0,10
