experiment_number,num_generated,num_deployed,num_correctly_executed,num_debugged,num_not_generated,num_generated_and_debugged,num_generated_and_not_debugged,num_generated_debugged_deployed,num_generated_not_debugged_deployed,num_generated_not_debugged_not_deployed,num_generated_debugged_not_deployed,num_debugged_not_generated,avg_total_tokens,avg_total_time,avg_tokens_assistant,avg_tokens_entry_point,avg_tokens_coder,avg_tokens_designer,avg_tokens_executor,avg_tokens_debugger,avg_tokens_deployer,avg_time_assistant,avg_time_entry_point,avg_time_coder,avg_time_designer,avg_time_deployer,avg_time_executor,avg_time_debugger
0,147,146,132,62,17,46,101,46,100,1,0,16,11515.431091632956,448.3225725386157,298.6585365853659,91.9329268292683,323.1951219512195,3709.048780487805,5402.067073170731,53.77255504759152,1636.7560975609756,1.088676515250024,0.801747728073259,1.9661184430427219,86.34916691381699,3.6042408852865235,300.7400670055547,53.77255504759152
1,154,154,147,41,10,31,123,31,123,0,0,10,9726.65840388981,382.3632968094754,327.3109756097561,122.0060975609756,505.6585365853659,3276.701219512195,3071.2134146341464,44.00596486542054,2379.762195121951,12.818855849963398,0.9057571614145524,27.497450455762298,61.707614313902354,20.943355394920903,214.48429876809138,44.00596486542054
2,154,154,148,41,10,31,123,31,123,0,0,10,246969.512195,384.34555213119467,327.3109756097561,122.0060975609756,505.6585365853659,3276.701219512195,3071.2134146341464,237222.3780487805,2444.243902439024,12.818855849963398,0.9057571614145524,27.497450455762298,61.707614313902354,22.92561071664024,214.48429876809138,44.00596486542053
