Metric,Mean,Standard_Deviation,Coefficient_of_Variation_%
pass@1,0.6939024390243904,0.01488341408761474,2.1448856857370973
number_func_generated,113.8,2.4408799103688215,2.1448856857371017
avg_generation_time (s),1.2596451258241017,0.03095258937675154,2.4572467865900984
avg_tokens,409.2390243902439,2.508836881981645,0.6130492774289428
avg_execution_time (s),1.038614063199381,0.2693850901560755,25.936976948516637
avg_cc_generation,3.757233574966669,0.12493656602645734,3.3252275519646304
avg_cog_generation,3.1777456225567464,0.14493953545315783,4.561080484993087
