model,avg_deployment_time (s),avg_tokens,functions_correctly_deployed,number_functions_correctly_deployed,functions_correctly_executed,number_functions_correctly_executed,avg_invocation_attempts
gemini-2.0-flash,5.2967881365670655,2239.8475609756097,0.9695121951219512,159,0.9085365853658537,149,0.975609756097561
qwen2.5-coder,6.404249418737702,2417.329268292683,0.8292682926829268,136,0.3231707317073171,53,1.0670731707317074
gemini-2.5-pro,20.382368619140266,2247.0365853658536,1.0,164,0.9207317073170732,151,1.0304878048780488
qwen3,60.418468465359695,5150.8109756097565,0.9573170731707317,157,0.725609756097561,119,1.0060975609756098
